Representation,mean_accuracy,mean_sensitivity,mean_specificity,elapsed_seconds,mtry
BoT,0.9708,0.7795,1.0,6.9,10
Tfidf,0.9708,0.7795,1.0,5.8,10
SVD on BoT,0.9641,0.7369,0.9988,49.1,10
SVD on Tfidf,0.9579,0.6846,0.9997,43.3,10
BoT + features,0.9695,0.7698,1.0,6.7,10
SVD + features,0.9674,0.7543,1.0,55.2,10
Cossim on BoT,0.9754,0.8143,1.0,6.5,10
Cossim on Tfidf,0.9777,0.8316,1.0,7.2,10
BoT,0.981,0.8587,0.9997,7.5,25
Tfidf,0.9815,0.8626,0.9997,8.5,25
SVD on BoT,0.9741,0.8277,0.9965,149.1,25
SVD on Tfidf,0.9774,0.8374,0.9988,96.8,25
BoT + features,0.9808,0.8548,1.0,7.0,25
SVD + features,0.9774,0.8394,0.9985,114.1,25
Cossim on BoT,0.9851,0.8896,0.9997,6.6,25
Cossim on Tfidf,0.9872,0.9109,0.9988,7.5,25
BoT,0.9818,0.8722,0.9985,7.5,50
Tfidf,0.9833,0.878,0.9994,9.4,50
SVD on BoT,0.9738,0.8471,0.9932,256.6,50
SVD on Tfidf,0.9787,0.8645,0.9962,189.3,50
BoT + features,0.9833,0.8799,0.9991,9.2,50
SVD + features,0.9797,0.8703,0.9965,216.6,50
Cossim on BoT,0.9877,0.9109,0.9994,7.9,50
Cossim on Tfidf,0.989,0.9303,0.9979,9.2,50
BoT,0.9846,0.8993,0.9976,10.5,100
Tfidf,0.9841,0.8896,0.9985,12.9,100
SVD on BoT,0.9733,0.8491,0.9923,494.7,100
SVD on Tfidf,0.979,0.8742,0.995,375.9,100
BoT + features,0.9846,0.8915,0.9988,12.0,100
SVD + features,0.9797,0.88,0.995,432.9,100
Cossim on BoT,0.9879,0.9245,0.9976,9.6,100
Cossim on Tfidf,0.9882,0.9322,0.9967,11.4,100
BoT,0.9844,0.8973,0.9976,15.6,250
Tfidf,0.9841,0.8935,0.9979,20.8,250
SVD on BoT,0.9726,0.8432,0.9923,1261.1,250
SVD on Tfidf,0.979,0.8819,0.9938,1049.4,250
BoT + features,0.9841,0.9012,0.9967,19.5,250
SVD + features,0.9779,0.8761,0.9935,1143.9,250
Cossim on BoT,0.9882,0.9341,0.9965,14.9,250
Cossim on Tfidf,0.9877,0.9322,0.9962,15.7,250
BoT,0.9751,0.882,0.9894,66.6,
Tfidf,0.9736,0.8723,0.9891,102.5,
SVD on BoT,0.9721,0.8393,0.9923,1483.7,
SVD on Tfidf,0.9772,0.878,0.9923,1285.4,
BoT + features,0.9772,0.8878,0.9908,90.1,
SVD + features,0.9779,0.8799,0.9929,1442.2,
Cossim on BoT,0.9862,0.9264,0.9953,40.3,
Cossim on Tfidf,0.9869,0.9342,0.995,56.5,
