ngram,vocab_size,bow_fit_time,tfidf_fit_time,bow_mod_time,tfidf_mod_time,NB_bow,LR_bow,NB_tfidf,LR_tfidf
2,100,7.0,0.0,3.2,0.2,0.9715,0.9769,0.9167,0.9538
2,200,4.1,0.0,0.2,0.1,0.9715,0.9787,0.9464,0.9579
2,300,4.1,0.0,0.1,0.1,0.9715,0.981,0.9536,0.961
2,400,4.4,0.0,0.1,0.1,0.9741,0.9821,0.9631,0.9628
2,500,4.1,0.0,0.2,0.1,0.9762,0.9828,0.9656,0.9636
2,600,4.1,0.0,0.1,0.1,0.9772,0.9826,0.969,0.9644
2,700,4.1,0.0,0.2,0.1,0.9767,0.9844,0.9674,0.9646
2,800,4.1,0.0,0.1,0.1,0.9779,0.9841,0.9692,0.9656
2,900,4.8,0.0,0.2,0.1,0.9782,0.9838,0.9713,0.9654
2,1000,4.3,0.0,0.2,0.1,0.9787,0.9838,0.9718,0.9667
2,1100,4.1,0.0,0.1,0.1,0.9792,0.9838,0.9731,0.9662
2,1200,4.1,0.0,0.2,0.1,0.979,0.9844,0.9731,0.9659
2,1300,4.1,0.0,0.2,0.2,0.9782,0.9849,0.9731,0.9656
2,1400,4.1,0.0,0.1,0.1,0.9782,0.9849,0.9733,0.9659
2,1500,4.2,0.0,0.2,0.1,0.9782,0.9849,0.9726,0.9667
2,1600,4.1,0.0,0.2,0.1,0.9782,0.9849,0.9731,0.9662
2,1700,4.2,0.0,0.2,0.1,0.9782,0.9846,0.9741,0.9674
2,1800,4.2,0.0,0.2,0.2,0.9782,0.9851,0.9738,0.9677
2,1900,4.1,0.0,0.2,0.1,0.9787,0.9851,0.9726,0.9674
2,2000,4.2,0.0,0.1,0.1,0.979,0.9851,0.9723,0.9672
2,2100,4.1,0.0,0.2,0.1,0.979,0.9844,0.9723,0.9672
2,2200,4.1,0.0,0.2,0.1,0.98,0.9844,0.9731,0.9674
2,2300,4.1,0.0,0.2,0.1,0.9795,0.9849,0.9731,0.9672
2,2400,4.9,0.0,0.2,0.1,0.9792,0.9846,0.9726,0.9669
2,2500,4.4,0.0,0.2,0.1,0.9803,0.9846,0.9728,0.9664
2,2600,4.1,0.0,0.2,0.1,0.98,0.9849,0.9728,0.9664
2,2700,4.1,0.0,0.2,0.1,0.9803,0.9849,0.9726,0.9662
2,2800,4.1,0.0,0.2,0.1,0.9803,0.9846,0.9726,0.9659
2,2900,4.1,0.0,0.2,0.1,0.981,0.9846,0.9723,0.9659
2,3000,4.1,0.0,0.2,0.1,0.981,0.9846,0.9726,0.9659
2,3100,4.1,0.0,0.2,0.1,0.9813,0.9846,0.9721,0.9662
2,3200,4.1,0.0,0.2,0.2,0.9818,0.9844,0.9731,0.9664
2,3300,4.1,0.0,0.2,0.2,0.9821,0.9844,0.9731,0.9662
2,3400,4.2,0.0,0.2,0.1,0.9823,0.9849,0.9728,0.9662
2,3500,4.1,0.0,0.2,0.1,0.9826,0.9849,0.9726,0.9659
2,3600,4.1,0.0,0.2,0.1,0.9823,0.9849,0.9713,0.9672
2,3700,4.1,0.0,0.2,0.1,0.9826,0.9849,0.9718,0.9672
2,3800,4.4,0.0,0.2,0.2,0.9821,0.9849,0.9715,0.9669
2,3900,4.6,0.0,0.2,0.1,0.9826,0.9849,0.9715,0.9669
2,4000,4.1,0.0,0.2,0.2,0.9828,0.9844,0.971,0.9667
2,4100,4.1,0.0,0.2,0.1,0.9828,0.9844,0.9715,0.9667
2,4200,4.1,0.0,0.2,0.2,0.9828,0.9844,0.9721,0.9662
2,4300,4.1,0.0,0.2,0.1,0.9821,0.9844,0.9723,0.9662
2,4400,4.1,0.0,0.2,0.2,0.9818,0.9844,0.9728,0.9662
2,4500,4.1,0.0,0.2,0.2,0.9818,0.9844,0.9728,0.9664
2,4600,4.1,0.0,0.2,0.1,0.9818,0.9844,0.9721,0.9659
2,4700,4.1,0.0,0.2,0.2,0.9818,0.9844,0.9718,0.9659
2,4800,4.1,0.0,0.2,0.1,0.9821,0.9844,0.9718,0.9654
2,4900,4.2,0.0,0.2,0.1,0.981,0.9846,0.9713,0.9654
2,5000,4.1,0.0,0.2,0.1,0.981,0.9846,0.9713,0.9654
3,100,5.4,0.0,0.1,0.1,0.97,0.9769,0.8728,0.9344
3,200,5.9,0.0,0.2,0.1,0.9721,0.9795,0.8987,0.9431
3,300,6.0,0.0,0.1,0.1,0.9723,0.9818,0.9067,0.9446
3,400,5.6,0.0,0.2,0.1,0.9744,0.9823,0.9203,0.9487
3,500,5.7,0.0,0.1,0.1,0.9756,0.9828,0.9228,0.9515
3,600,5.6,0.0,0.1,0.1,0.9774,0.9826,0.9341,0.9528
3,700,5.4,0.0,0.2,0.1,0.9772,0.9844,0.9377,0.9528
3,800,5.3,0.0,0.2,0.1,0.9777,0.9844,0.9405,0.9533
3,900,5.5,0.0,0.2,0.1,0.9774,0.9844,0.9444,0.9541
3,1000,5.4,0.0,0.2,0.1,0.9777,0.9841,0.9454,0.9549
3,1100,5.4,0.0,0.2,0.1,0.9777,0.9844,0.9462,0.9551
3,1200,5.4,0.0,0.2,0.1,0.9774,0.9841,0.9467,0.9559
3,1300,5.4,0.0,0.2,0.1,0.9777,0.9846,0.9467,0.9567
3,1400,6.1,0.0,0.2,0.1,0.9785,0.9849,0.9472,0.9564
3,1500,5.2,0.0,0.2,0.1,0.9782,0.9846,0.9469,0.9572
3,1600,5.4,0.0,0.2,0.1,0.9782,0.9849,0.9469,0.9572
3,1700,5.4,0.0,0.2,0.1,0.9782,0.9849,0.9454,0.9569
3,1800,5.4,0.0,0.2,0.1,0.9779,0.9849,0.9464,0.9572
3,1900,5.4,0.0,0.1,0.1,0.9777,0.9844,0.9482,0.9574
3,2000,5.4,0.0,0.2,0.1,0.9774,0.9849,0.95,0.9577
3,2100,5.4,0.0,0.2,0.1,0.979,0.9849,0.949,0.9582
3,2200,5.5,0.0,0.2,0.1,0.979,0.9849,0.9477,0.9582
3,2300,5.5,0.0,0.2,0.1,0.9803,0.9849,0.95,0.9585
3,2400,5.4,0.0,0.2,0.1,0.9803,0.9846,0.9497,0.9585
3,2500,6.1,0.0,0.2,0.2,0.9803,0.9844,0.95,0.9582
3,2600,5.6,0.0,0.2,0.1,0.9808,0.9846,0.9503,0.9582
3,2700,5.5,0.0,0.2,0.1,0.9797,0.9846,0.9497,0.9582
3,2800,5.4,0.0,0.2,0.1,0.9803,0.9841,0.9503,0.9579
3,2900,5.4,0.0,0.2,0.1,0.9803,0.9841,0.9497,0.9579
3,3000,5.4,0.0,0.2,0.1,0.9805,0.9841,0.9497,0.9582
3,3100,5.4,0.0,0.2,0.1,0.9815,0.9841,0.9487,0.9582
3,3200,5.4,0.0,0.2,0.1,0.9818,0.9841,0.949,0.9582
3,3300,5.5,0.0,0.2,0.1,0.9815,0.9844,0.9492,0.9587
3,3400,5.4,0.0,0.2,0.1,0.9815,0.9841,0.949,0.9585
3,3500,5.4,0.0,0.2,0.1,0.9815,0.9841,0.949,0.9579
3,3600,5.8,0.0,0.2,0.1,0.9821,0.9841,0.95,0.9582
3,3700,5.8,0.0,0.2,0.1,0.9821,0.9841,0.9497,0.9582
3,3800,5.4,0.0,0.2,0.2,0.9821,0.9841,0.9503,0.9587
3,3900,5.4,0.0,0.2,0.1,0.9828,0.9841,0.9495,0.9587
3,4000,5.4,0.0,0.2,0.2,0.9823,0.9841,0.9487,0.9587
3,4100,5.4,0.0,0.2,0.2,0.9818,0.9841,0.9485,0.9585
3,4200,5.5,0.0,0.2,0.2,0.9818,0.9841,0.9485,0.9585
3,4300,5.5,0.0,0.2,0.1,0.9818,0.9844,0.9482,0.9585
3,4400,5.4,0.0,0.2,0.2,0.9815,0.9841,0.9492,0.9585
3,4500,5.4,0.0,0.2,0.2,0.9813,0.9838,0.9469,0.959
3,4600,5.7,0.0,0.2,0.1,0.9813,0.9836,0.9472,0.9592
3,4700,5.5,0.0,0.2,0.2,0.981,0.9836,0.9464,0.9592
3,4800,6.2,0.0,0.2,0.2,0.9815,0.9836,0.9462,0.9592
3,4900,5.4,0.0,0.2,0.2,0.9808,0.9836,0.9469,0.9592
3,5000,5.4,0.0,0.2,0.2,0.9808,0.9836,0.9467,0.9592
4,100,6.8,0.0,0.1,0.1,0.9695,0.9769,0.8682,0.9118
4,200,6.7,0.0,0.1,0.1,0.9715,0.9795,0.8762,0.9215
4,300,6.7,0.0,0.1,0.1,0.9713,0.9821,0.8787,0.9279
4,400,6.7,0.0,0.2,0.1,0.9741,0.9823,0.8882,0.9321
4,500,7.0,0.0,0.1,0.1,0.9754,0.9828,0.891,0.9346
4,600,6.7,0.0,0.2,0.1,0.9774,0.9828,0.8936,0.9377
4,700,8.1,0.0,0.1,0.1,0.9769,0.9836,0.8977,0.9387
4,800,6.9,0.0,0.1,0.2,0.9777,0.9849,0.9028,0.9392
4,900,6.7,0.0,0.1,0.1,0.9777,0.9849,0.9067,0.9397
4,1000,6.8,0.0,0.2,0.1,0.9774,0.9846,0.909,0.94
4,1100,7.0,0.0,0.2,0.1,0.9769,0.9846,0.9123,0.9403
4,1200,7.0,0.0,0.2,0.1,0.9777,0.9849,0.9136,0.9405
4,1300,6.8,0.0,0.2,0.1,0.9777,0.9849,0.9164,0.9413
4,1400,6.8,0.0,0.2,0.1,0.9785,0.9851,0.9177,0.9426
4,1500,6.8,0.0,0.2,0.1,0.9779,0.9851,0.9182,0.9423
4,1600,7.4,0.0,0.2,0.2,0.9779,0.9851,0.9187,0.9428
4,1700,7.1,0.0,0.2,0.1,0.9779,0.9854,0.9185,0.9428
4,1800,6.7,0.0,0.2,0.1,0.9777,0.9854,0.919,0.9431
4,1900,6.8,0.0,0.2,0.1,0.9767,0.9851,0.9218,0.9441
4,2000,6.7,0.0,0.1,0.1,0.9767,0.9851,0.9218,0.9441
4,2100,2.7,0.0,0.1,0.1,0.9769,0.9854,0.9218,0.9441
4,2200,2.5,0.0,0.1,0.1,0.9774,0.9854,0.921,0.9444
4,2300,2.7,0.0,0.1,0.1,0.979,0.9854,0.921,0.9446
4,2400,2.7,0.0,0.1,0.1,0.9795,0.9854,0.9205,0.9446
4,2500,2.6,0.0,0.1,0.1,0.9792,0.9851,0.9221,0.9449
4,2600,2.4,0.0,0.1,0.1,0.979,0.9851,0.9233,0.9451
4,2700,2.5,0.0,0.1,0.0,0.9792,0.9849,0.9226,0.9454
4,2800,2.5,0.0,0.1,0.1,0.979,0.9846,0.9231,0.9456
4,2900,2.5,0.0,0.1,0.1,0.9787,0.9849,0.9233,0.9459
4,3000,2.4,0.0,0.1,0.1,0.9792,0.9846,0.9231,0.9459
4,3100,2.4,0.0,0.1,0.1,0.9795,0.9846,0.9236,0.9459
4,3200,2.5,0.0,0.1,0.0,0.9797,0.9846,0.9236,0.9464
4,3300,2.5,0.0,0.1,0.1,0.9797,0.9846,0.9223,0.9464
4,3400,2.8,0.0,0.1,0.1,0.9797,0.9846,0.9218,0.9464
4,3500,2.6,0.0,0.1,0.1,0.9787,0.9846,0.9215,0.9467
4,3600,2.4,0.0,0.1,0.1,0.9795,0.9849,0.9213,0.9467
4,3700,2.5,0.0,0.1,0.1,0.979,0.9844,0.9231,0.9467
4,3800,2.4,0.0,0.1,0.1,0.9787,0.9846,0.9226,0.9462
4,3900,2.4,0.0,0.1,0.1,0.9779,0.9844,0.9221,0.9462
4,4000,2.5,0.0,0.1,0.1,0.9779,0.9844,0.9223,0.9464
4,4100,2.5,0.0,0.1,0.1,0.9779,0.9844,0.9221,0.9464
4,4200,2.5,0.0,0.1,0.1,0.9779,0.9844,0.9226,0.9464
4,4300,2.4,0.0,0.1,0.1,0.9787,0.9844,0.9223,0.9467
4,4400,2.4,0.0,0.1,0.1,0.9779,0.9844,0.9221,0.9467
4,4500,2.4,0.0,0.1,0.1,0.9777,0.9844,0.9215,0.9467
4,4600,2.4,0.0,0.1,0.1,0.9777,0.9844,0.9208,0.9467
4,4700,2.5,0.0,0.1,0.1,0.9779,0.9844,0.9205,0.9464
4,4800,2.4,0.0,0.1,0.1,0.9779,0.9846,0.9205,0.9467
4,4900,2.5,0.0,0.1,0.1,0.9785,0.9841,0.9203,0.9467
4,5000,2.4,0.0,0.1,0.1,0.9779,0.9841,0.9203,0.9477
